gene_id	SRX026871	SRX1149649	SRX1900396	SRX2255510	SRX3110803
ENSMUSG00000003227	0	1	0	0	0
ENSMUSG00000003228	1	1	1	1	1
ENSMUSG00000003233	1	1	1	1	1
ENSMUSG00000003234	1	1	1	1	1
ENSMUSG00000003235	1	1	1	1	1
ENSMUSG00000003269	1	1	1	1	1
ENSMUSG00000003271	0	1	0	1	0
ENSMUSG00000003273	0	1	0	0	1
ENSMUSG00000003279	0	1	0	1	1
ENSMUSG00000003282	0	1	0	1	0
ENSMUSG00000003283	1	1	1	1	1
ENSMUSG00000003299	1	1	1	1	1
ENSMUSG00000003308	1	1	1	1	1
ENSMUSG00000003309	0	1	0	1	1
ENSMUSG00000003316	1	1	1	1	1
ENSMUSG00000003341	0	0	0	1	0
ENSMUSG00000003344	1	1	1	1	1
ENSMUSG00000003345	1	1	0	1	1
ENSMUSG00000003346	1	1	1	1	1
ENSMUSG00000003348	1	1	1	1	0
ENSMUSG00000003352	0	1	0	0	0
ENSMUSG00000003354	0	1	0	0	0
ENSMUSG00000003355	1	1	1	1	1
ENSMUSG00000003360	1	1	1	1	1
ENSMUSG00000003363	1	1	1	1	1
ENSMUSG00000003378	0	1	1	0	1
ENSMUSG00000003379	0	0	0	1	0
ENSMUSG00000003380	1	1	1	1	1
ENSMUSG00000003382	1	1	1	1	1
ENSMUSG00000003402	1	1	1	1	1
ENSMUSG00000003410	0	1	0	1	0
ENSMUSG00000003411	0	1	1	1	1
ENSMUSG00000003418	0	1	0	1	0
ENSMUSG00000003420	1	1	1	1	1
ENSMUSG00000003421	1	1	1	1	1
ENSMUSG00000003423	1	1	1	1	1
ENSMUSG00000003429	1	1	1	1	1
ENSMUSG00000003435	1	1	1	1	1
ENSMUSG00000003436	0	1	0	1	0
ENSMUSG00000003437	1	1	1	1	1
ENSMUSG00000003438	1	1	1	1	1
ENSMUSG00000003444	1	1	1	0	1
ENSMUSG00000003452	1	1	0	1	0
ENSMUSG00000003458	1	1	1	1	1
ENSMUSG00000003464	1	1	1	1	1
ENSMUSG00000003469	0	1	1	1	0
ENSMUSG00000003476	0	1	0	0	0
ENSMUSG00000003477	0	1	1	0	1
ENSMUSG00000003484	1	0	1	0	1
ENSMUSG00000003500	1	1	1	1	1
ENSMUSG00000003518	1	1	1	1	1
ENSMUSG00000003526	1	1	1	1	1
ENSMUSG00000003527	1	1	1	1	1
ENSMUSG00000003528	1	1	1	1	1
ENSMUSG00000003531	1	1	1	1	1
ENSMUSG00000003534	0	1	1	1	1
ENSMUSG00000003541	1	1	0	1	0
ENSMUSG00000003545	0	1	0	1	0
ENSMUSG00000003546	1	1	1	1	1
ENSMUSG00000003549	1	1	1	1	1
ENSMUSG00000003555	0	0	1	0	1
ENSMUSG00000003559	1	1	1	1	1
ENSMUSG00000003573	1	1	0	1	0
ENSMUSG00000003575	1	1	1	1	1
ENSMUSG00000003581	1	1	1	1	1
ENSMUSG00000003585	0	1	1	1	1
ENSMUSG00000003604	1	1	1	1	1
ENSMUSG00000003617	1	1	1	1	1
ENSMUSG00000003623	1	1	1	1	1
ENSMUSG00000003644	1	1	1	1	1
ENSMUSG00000003657	0	1	0	1	0
ENSMUSG00000003660	1	1	1	1	1
ENSMUSG00000003662	1	1	1	1	1
ENSMUSG00000003665	0	1	0	1	0
