baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000106771.12 162.637644050533 -7.46519185423887 1.13082793062381 -6.60152765250571 4.06942340009035e-11 2.38150566854911e-09
ENSG00000141385.9 457.95024227679 -8.17548967614752 1.23832735241307 -6.60204239227725 4.05531502505105e-11 2.38150566854911e-09
ENSG00000152291.13 210.983697608764 -8.23413328482451 1.2474153472806 -6.60095557007148 4.08515981839481e-11 2.38150566854911e-09
ENSG00000173905.8 187.592840358308 -7.51626628046601 1.13857258208767 -6.60148188944115 4.07068003078757e-11 2.38150566854911e-09
ENSG00000125871.13 157.039641730549 -7.31673052739024 1.10894332601371 -6.59793007970166 4.16937803814244e-11 2.41655223054649e-09
ENSG00000116221.15 381.143871253207 -7.73261591391916 1.17262506862079 -6.59427818903279 4.27329773346949e-11 2.46254921686774e-09
ENSG00000198060.9 166.03713728548 -7.22124935233298 1.09635078385569 -6.5866230577562 4.49942653333353e-11 2.5780428485563e-09
ENSG00000112739.16 257.815559025697 -7.78685101446819 1.18356915741595 -6.57912633636801 4.73220563452178e-11 2.6960128350767e-09
ENSG00000152104.11 114.806194648645 -7.56426050198993 1.15167569315583 -6.56804736519383 5.09793269752446e-11 2.88796447220778e-09
ENSG00000082516.8 263.57328836942 -7.92636026911777 1.20763496121626 -6.56353991369609 5.25451616018877e-11 2.95994570439398e-09
ENSG00000165655.16 278.13709092863 -7.69435406140895 1.17358705965207 -6.55627036624795 5.51701680496022e-11 3.0904540504657e-09
ENSG00000115761.15 193.428538855799 -7.14130989759322 1.09005439827774 -6.55133350122372 5.70255446852406e-11 3.17663964754948e-09
ENSG00000164933.11 198.046608883887 -7.46445936990869 1.13988177784742 -6.54845047528063 5.81371296400604e-11 3.22066850221484e-09
ENSG00000068878.14 383.853187003672 -8.1131367318454 1.2405237874841 -6.54008960868022 6.14819841619419e-11 3.38725195160325e-09
ENSG00000158615.8 186.337629821242 -7.16124112899147 1.09682869865054 -6.52904244555429 6.61914929152541e-11 3.60707662750681e-09
ENSG00000165629.19 397.081163664566 -8.35304239767311 1.2792884329673 -6.5294441678788 6.60142135540942e-11 3.60707662750681e-09
ENSG00000173120.14 241.019119384906 -7.5897979368385 1.16313041296435 -6.52531981989462 6.78565859174854e-11 3.67782695672771e-09
ENSG00000120008.15 234.596604044081 -7.49893559934272 1.14942942152347 -6.52405050620989 6.8433648466365e-11 3.68916232888302e-09
ENSG00000136197.12 76.4362988334692 7.3240562490462 1.123326400616 6.51997161735888 7.03206965434152e-11 3.77061831144826e-09
ENSG00000023909.9 186.118779520203 -7.43182166916446 1.14029916365221 -6.51743148294651 7.1521472150797e-11 3.80924642793959e-09
ENSG00000270757.1 174.240914927258 -7.41529311689954 1.13786526388605 -6.51684637210448 7.18008950713655e-11 3.80924642793959e-09
ENSG00000101752.11 170.637781234429 -7.67397168319496 1.17924892225263 -6.5075079047229 7.6407732270794e-11 4.03231753410132e-09
ENSG00000132953.16 159.14144524347 -7.48199089585393 1.15119040801898 -6.49935131819703 8.06670813961591e-11 4.23481060292821e-09
ENSG00000048707.13 199.687592899065 -7.30732740189626 1.12549197839944 -6.49256284552824 8.43882968915974e-11 4.40709090068775e-09
ENSG00000165669.13 78.7859310809226 7.81661179146791 1.20439516445235 6.49007238004163 8.57951460661745e-11 4.45734678552089e-09
ENSG00000070081.15 210.87904386339 -7.75512914256569 1.19623286592931 -6.48295943327138 8.99406874050536e-11 4.64863542582718e-09
ENSG00000139697.12 310.512051071316 -8.23560226796492 1.27167461732328 -6.47618671928819 9.40696289085744e-11 4.83710855931423e-09
