gene	SRX118286_cnt	SRX118292_cnt	SRX118290_cnt	SRX118296_cnt
ENSG00000156463.17	0	22	6	15
ENSG00000145494.11	237	821	270	0
ENSG00000149929.15	45	0	81	112
ENSG00000108107.13	774	3485	282	690
ENSG00000224877.3	15	76	0	28
ENSG00000104626.14	36	31	39	203
ENSG00000011304.18	780	2746	950	3146
ENSG00000101901.11	94	343	140	135
ENSG00000278615.4	123	342	121	264
ENSG00000196517.11	10	70	16	91
ENSG00000105427.9	9	0	17	0
ENSG00000109618.11	10	68	30	27
ENSG00000112659.13	49	168	0	0
ENSG00000204899.5	44	154	0	227
ENSG00000180182.10	275	1194	0	0
ENSG00000104142.10	92	364	17	435
ENSG00000211456.10	176	869	104	0
ENSG00000197977.3	0	0	9	0
ENSG00000164654.15	71	302	0	193
ENSG00000261934.2	28	36	43	73
ENSG00000161243.8	0	30	7	0
ENSG00000163993.6	19	48	34	33
ENSG00000084070.11	217	458	321	261
ENSG00000160284.14	0	34	0	0
ENSG00000136682.14	9	30	9	0
ENSG00000138035.14	156	570	222	588
ENSG00000139190.16	0	0	8	0
ENSG00000011143.16	38	188	67	156
ENSG00000164241.13	0	13	0	13
ENSG00000124104.18	15	43	0	0
ENSG00000120437.8	215	986	216	0
ENSG00000003056.7	144	500	187	134
ENSG00000177602.5	28	183	36	0
ENSG00000114127.10	101	236	13	74
ENSG00000104067.16	35	0	49	0
ENSG00000171992.12	0	143	50	100
ENSG00000173230.15	426	1079	41	41
ENSG00000182158.14	47	243	23	162
ENSG00000170234.12	46	27	32	178
ENSG00000109103.11	34	54	21	57
ENSG00000140450.8	10	18	0	0
ENSG00000274322.1	9	52	54	106
ENSG00000130733.10	61	206	0	0
ENSG00000174371.16	87	333	49	24
ENSG00000100359.20	15	66	6	0
ENSG00000101000.5	97	558	115	271
ENSG00000105011.8	203	619	242	734
ENSG00000121851.12	0	22	0	23
ENSG00000140718.19	130	417	159	551
ENSG00000270898.5	47	205	75	0
ENSG00000145623.12	193	544	37	789
ENSG00000152242.10	69	226	0	195
ENSG00000143622.10	56	133	0	0
ENSG00000213190.3	96	190	133	0
ENSG00000165655.16	164	603	0	0
ENSG00000066855.15	73	279	0	192
ENSG00000123562.16	649	2415	947	2847
ENSG00000136247.14	0	75	0	0
ENSG00000143479.15	41	283	30	0
ENSG00000122705.16	423	1133	391	1111
ENSG00000162959.13	13	49	16	59
ENSG00000143578.15	35	85	38	0
ENSG00000263001.5	205	724	274	0
ENSG00000143933.16	789	3020	1294	1968
ENSG00000175697.10	5	0	0	0
ENSG00000133895.14	53	261	101	409
ENSG00000150991.14	1468	5285	2314	8028
ENSG00000077585.13	6	0	0	0
ENSG00000130511.15	0	18	15	25
ENSG00000153292.15	218	496	0	0
ENSG00000163539.16	149	751	85	997
ENSG00000117153.15	25	104	51	71
ENSG00000198752.10	237	472	0	266
ENSG00000156239.11	13	66	33	0
ENSG00000226650.5	0	42	13	72
ENSG00000172915.18	35	139	14	0
ENSG00000168066.20	386	1526	86	130
ENSG00000122707.11	12	36	0	0
ENSG00000146757.13	37	52	0	0
ENSG00000166689.15	17	53	17	38
ENSG00000140990.14	247	996	361	905
ENSG00000165259.13	13	28	27	0
ENSG00000156136.9	139	531	45	0
ENSG00000100583.4	8	19	10	0
ENSG00000104953.19	0	8	0	0
ENSG00000153071.14	0	231	16	62
ENSG00000197461.13	7	17	9	0
ENSG00000101452.14	56	187	0	0
ENSG00000265808.3	71	147	110	250
ENSG00000138778.11	280	1686	0	0
ENSG00000054793.13	84	362	0	353
ENSG00000062725.9	177	621	66	177
ENSG00000130695.13	93	240	0	0
ENSG00000174672.15	6	24	11	0
ENSG00000020922.12	157	560	0	0
ENSG00000155115.6	20	70	0	125
ENSG00000181638.17	0	21	16	41
ENSG00000090615.13	158	0	0	606
ENSG00000172534.13	256	854	320	296
ENSG00000172269.17	176	925	269	0
ENSG00000076053.10	54	205	0	236
ENSG00000171169.8	13	41	0	49
ENSG00000271605.5	0	27	0	0
ENSG00000063245.14	132	436	25	0
ENSG00000028310.17	51	230	81	215
ENSG00000126214.21	590	1796	751	14
ENSG00000238227.7	0	14	7	0
ENSG00000159251.6	0	8	0	0
ENSG00000090054.13	109	517	143	589
ENSG00000147592.8	250	1261	360	1699
ENSG00000142327.11	13	11	0	37
ENSG00000160216.18	68	234	34	0
ENSG00000165626.16	0	7	0	0
ENSG00000120805.13	353	1203	243	0
ENSG00000163053.10	20	73	23	31
ENSG00000128284.19	6	0	0	0
ENSG00000074935.13	11	0	14	0
ENSG00000011451.17	41	0	0	96
ENSG00000196104.10	34	39	55	28
ENSG00000037897.16	31	96	26	58
ENSG00000046647.13	7	25	0	34
ENSG00000140993.10	10	41	20	32
ENSG00000120697.8	0	0	0	286
ENSG00000084623.11	778	3335	968	0
ENSG00000101294.16	493	2052	572	0
ENSG00000251322.7	0	0	6	0
ENSG00000146070.16	20	0	0	0
ENSG00000159176.13	113	298	154	379
ENSG00000135655.14	188	751	41	164
ENSG00000065526.10	144	440	16	0
ENSG00000119912.15	189	831	13	1121
ENSG00000048162.20	177	954	0	0
ENSG00000145041.15	175	812	204	0
ENSG00000126226.21	88	366	0	387
ENSG00000236699.8	5	0	8	0
ENSG00000156026.14	22	153	45	139
ENSG00000187840.4	63	217	0	196
ENSG00000174007.7	0	29	12	72
ENSG00000122873.11	135	507	141	437
ENSG00000114626.17	10	13	26	64
ENSG00000078237.6	46	228	0	134
ENSG00000159069.13	18	27	0	47
ENSG00000161980.5	51	304	0	0
ENSG00000166068.12	141	0	0	810
ENSG00000187372.11	7	0	0	0
ENSG00000104687.12	178	610	0	552
ENSG00000092330.15	43	33	5	0
ENSG00000159352.15	353	1310	64	1368
ENSG00000063176.15	6	0	6	11
ENSG00000198046.11	23	66	10	28
ENSG00000172493.20	56	113	31	34
ENSG00000257103.8	6	32	8	65
ENSG00000140307.10	123	363	137	0
ENSG00000167306.19	9	23	0	21
ENSG00000159167.11	14	17	12	0
ENSG00000130348.11	35	174	41	168
ENSG00000172175.12	117	340	18	303
ENSG00000143353.11	76	0	99	0
ENSG00000124164.15	215	589	286	636
ENSG00000157764.12	7	98	38	131
ENSG00000103426.12	0	18	0	0
ENSG00000133794.17	12	69	0	63
ENSG00000175279.21	20	65	25	0
ENSG00000119333.11	81	167	0	0
ENSG00000129083.12	923	3390	163	3931
ENSG00000176444.18	0	0	8	22
ENSG00000105778.17	85	213	141	369
ENSG00000167965.17	24	127	42	0
ENSG00000008838.18	69	340	106	290
ENSG00000135486.17	356	0	0	278
ENSG00000115540.14	75	330	0	97
ENSG00000248487.8	14	44	29	34
ENSG00000255872.3	0	21	19	0
ENSG00000071626.16	101	430	0	496
ENSG00000081026.18	19	0	0	69
ENSG00000130713.15	126	431	0	351
ENSG00000185379.20	0	36	20	0
ENSG00000116857.16	317	1109	482	1518
ENSG00000177082.12	10	30	0	32
ENSG00000160685.13	9	0	11	0
ENSG00000147789.15	67	41	0	55
ENSG00000132326.11	20	0	0	0
ENSG00000131016.16	1836	2052	2272	0
ENSG00000108784.9	0	22	11	27
ENSG00000064601.16	429	1980	66	0
ENSG00000108961.13	19	78	0	50
ENSG00000159231.5	69	247	80	0
ENSG00000139636.15	0	16	8	0
ENSG00000249773.3	147	0	126	0
ENSG00000007402.11	0	57	7	0
ENSG00000124721.17	5	0	0	0
ENSG00000176020.8	5	13	0	0
ENSG00000257218.5	52	233	66	110
ENSG00000131828.13	365	1680	572	2391
ENSG00000163257.10	21	85	0	170
ENSG00000170927.14	0	64	0	0
