gene	SRX118285_cnt	SRX118291_cnt	SRX118289_cnt	SRX118295_cnt
ENSG00000182158.14	79	103	89	80
ENSG00000071575.11	155	114	147	94
ENSG00000256349.1	145	135	142	179
ENSG00000117597.17	196	190	255	189
ENSG00000126804.13	1966	1504	1606	1441
ENSG00000102178.12	316	379	248	360
ENSG00000160223.16	0	0	0	1
ENSG00000161010.14	61	82	37	85
ENSG00000140740.10	949	1839	851	1601
ENSG00000223573.6	0	0	0	0
ENSG00000187955.11	0	0	1	0
ENSG00000176108.9	158	102	131	97
ENSG00000115761.15	560	581	354	435
ENSG00000137513.9	292	391	236	272
ENSG00000099860.8	160	114	180	234
ENSG00000011007.12	781	625	602	434
ENSG00000204314.10	2	0	0	0
ENSG00000013364.18	246	178	268	269
ENSG00000232264.4	0	0	0	0
ENSG00000180745.4	0	0	0	0
ENSG00000117862.11	337	246	340	266
ENSG00000165478.6	0	0	0	0
ENSG00000105251.10	0	0	0	0
ENSG00000213337.8	128	90	83	147
ENSG00000105131.7	0	0	2	0
ENSG00000180096.11	3	3	3	4
ENSG00000187730.7	0	0	0	1
ENSG00000103653.16	590	532	449	487
ENSG00000239521.7	11	9	19	11
ENSG00000109107.13	372	211	324	222
ENSG00000135535.15	783	895	884	892
ENSG00000100351.16	0	0	0	0
ENSG00000251322.7	165	100	143	136
ENSG00000280252.1	0	0	0	0
ENSG00000198755.10	864	1044	883	1196
ENSG00000148737.16	152	122	212	180
ENSG00000099337.4	25	16	21	27
ENSG00000122696.13	26	39	22	22
ENSG00000177706.8	362	348	298	280
ENSG00000142182.8	0	0	0	0
ENSG00000197745.2	0	0	0	0
ENSG00000111837.11	1	1	1	0
ENSG00000134072.10	290	388	246	463
ENSG00000211764.1	9	22	8	23
ENSG00000270806.1	0	0	0	0
ENSG00000123427.16	51	27	39	26
ENSG00000009790.14	0	0	0	0
ENSG00000143815.14	197	202	178	194
ENSG00000123415.15	158	168	159	208
ENSG00000100814.17	301	322	234	376
ENSG00000113924.11	0	0	0	0
ENSG00000198695.2	2900	3583	4545	4021
ENSG00000164403.14	145	146	79	143
ENSG00000150687.11	390	321	538	533
ENSG00000009335.17	1751	2159	1429	1617
ENSG00000127580.15	301	253	217	304
ENSG00000173597.8	0	0	0	0
ENSG00000163600.12	0	0	0	0
ENSG00000085185.15	179	228	134	346
ENSG00000171989.5	1	0	0	0
ENSG00000157869.14	64	78	42	41
ENSG00000010295.19	3	3	2	5
ENSG00000144868.13	0	0	0	0
ENSG00000172932.14	255	227	182	270
ENSG00000177981.10	149	197	130	179
ENSG00000065665.20	92	91	80	65
ENSG00000115718.17	0	0	1	6
ENSG00000143479.15	133	208	119	204
ENSG00000102710.19	387	361	360	407
ENSG00000205085.9	7	0	7	1
ENSG00000077514.8	233	220	195	178
ENSG00000133142.17	795	508	612	518
ENSG00000120800.4	963	1114	884	772
ENSG00000249471.7	50	38	38	40
ENSG00000141506.13	0	0	0	0
ENSG00000187796.13	1	0	1	0
ENSG00000184389.9	0	0	0	0
ENSG00000102904.14	16	13	11	18
ENSG00000100417.11	219	204	207	308
ENSG00000117758.13	112	98	122	124
ENSG00000100483.13	124	104	61	70
ENSG00000162641.18	1	5	2	1
ENSG00000147459.17	558	674	575	637
ENSG00000099769.5	0	0	0	0
ENSG00000123329.17	0	0	2	0
ENSG00000167785.8	139	117	116	115
ENSG00000110079.16	0	0	0	0
ENSG00000071462.11	1180	877	969	905
ENSG00000149564.11	25	38	23	37
ENSG00000130024.14	191	144	144	100
ENSG00000179833.4	258	207	244	203
ENSG00000160953.15	167	141	139	143
ENSG00000106080.10	82	79	89	57
ENSG00000109501.13	404	394	338	335
ENSG00000168612.4	194	147	192	194
ENSG00000198886.2	33791	45815	38330	46615
ENSG00000102218.5	150	177	143	180
ENSG00000244486.8	7	3	5	4
ENSG00000180043.11	0	0	0	0
ENSG00000161714.11	1237	1191	1169	1777
ENSG00000102239.4	1	0	0	0
ENSG00000173369.15	0	0	0	0
ENSG00000138814.16	202	233	205	220
ENSG00000173431.2	0	0	0	0
ENSG00000149506.11	0	0	0	0
ENSG00000054967.12	169	87	57	66
ENSG00000158825.5	297	137	203	148
ENSG00000276045.2	368	422	226	491
ENSG00000053702.14	0	0	0	0
ENSG00000171448.8	52	55	51	40
ENSG00000158164.6	0	1	0	0
ENSG00000103942.12	21	73	18	42
ENSG00000165506.14	708	768	389	414
ENSG00000153684.14	0	0	0	0
ENSG00000274391.4	7	4	1	6
ENSG00000180509.11	0	0	0	0
ENSG00000204469.12	652	629	517	679
ENSG00000185122.10	1249	1239	916	1486
ENSG00000091010.4	2	0	0	0
ENSG00000106397.11	1032	991	1058	1285
ENSG00000196421.8	4	3	2	5
ENSG00000135047.14	400	470	360	465
ENSG00000183186.7	2	2	0	1
ENSG00000280575.1	0	0	0	0
ENSG00000119865.8	200	128	135	144
ENSG00000124143.10	0	0	0	0
ENSG00000169223.14	1719	1843	1491	2393
ENSG00000189139.5	0	0	0	0
ENSG00000079337.15	59	31	35	33
ENSG00000076382.16	1360	1623	1187	1765
ENSG00000088179.8	141	179	170	169
ENSG00000109680.10	44	56	37	45
ENSG00000120910.14	92	108	87	108
ENSG00000161031.12	0	0	0	0
ENSG00000239388.8	0	2	1	0
ENSG00000010278.12	1099	1453	1105	1566
ENSG00000163554.12	4	0	0	0
ENSG00000079308.16	7	9	3	3
ENSG00000158234.12	54	65	50	51
ENSG00000241685.8	2115	1681	1641	1563
ENSG00000151883.17	42	1	24	1
ENSG00000117054.13	326	424	306	400
ENSG00000188295.14	113	96	72	100
ENSG00000184602.5	13	3	17	8
ENSG00000164197.11	18	54	22	43
ENSG00000129255.15	453	392	318	399
ENSG00000042304.10	1	0	0	0
ENSG00000214140.10	1	1	4	8
ENSG00000172689.1	0	0	0	0
ENSG00000136158.11	120	139	173	252
ENSG00000255872.3	251	123	114	97
ENSG00000164841.4	10	6	6	4
ENSG00000196961.12	1761	1585	1895	2374
ENSG00000280987.3	2145	2355	2117	2316
ENSG00000002745.12	0	0	1	0
ENSG00000167850.3	1	0	1	0
ENSG00000091428.17	13	1	18	8
ENSG00000177119.15	212	152	230	250
ENSG00000149639.14	726	898	721	912
ENSG00000102804.14	756	991	914	864
ENSG00000211695.2	0	0	0	0
ENSG00000169083.15	9	5	11	15
ENSG00000196437.10	51	46	47	24
ENSG00000171311.12	179	200	131	186
ENSG00000113716.12	1059	1390	793	1440
ENSG00000106366.8	1552	1793	1332	1474
ENSG00000186376.14	80	105	66	96
ENSG00000164366.3	164	234	153	179
ENSG00000178585.14	97	72	92	97
ENSG00000111834.12	2	0	0	2
ENSG00000204525.15	305	65	233	93
ENSG00000117676.13	597	759	414	666
ENSG00000134551.12	0	0	0	0
ENSG00000229676.2	9	3	1	1
ENSG00000197217.12	221	212	174	187
ENSG00000214941.7	98	129	88	126
ENSG00000101935.9	36	35	23	21
ENSG00000104918.7	0	0	0	0
ENSG00000171773.2	0	0	0	0
ENSG00000130489.13	239	251	125	184
ENSG00000183709.7	0	0	0	0
ENSG00000100983.9	726	857	672	879
ENSG00000137872.16	29	27	59	9
ENSG00000160882.11	0	0	0	0
ENSG00000137251.15	0	0	1	0
ENSG00000257008.6	0	0	2	4
ENSG00000137440.4	389	304	221	98
ENSG00000164129.11	0	7	0	3
ENSG00000185198.11	0	0	1	0
ENSG00000104415.13	1	0	1	0
ENSG00000167747.13	530	365	466	625
ENSG00000116171.16	750	574	561	484
ENSG00000165716.10	132	141	105	196
ENSG00000125434.10	15	19	17	15
ENSG00000131115.15	207	182	197	164
ENSG00000112146.16	878	882	671	797
ENSG00000147862.15	111	78	121	100
ENSG00000152253.8	51	105	40	48
ENSG00000057608.16	901	1231	773	874
ENSG00000055332.16	492	310	440	221
ENSG00000164190.16	581	699	752	885
ENSG00000005421.8	3	0	1	0
ENSG00000280141.1	0	0	0	0
ENSG00000163072.15	0	0	0	0
ENSG00000078596.10	23	5	22	0
ENSG00000169442.8	0	0	0	0
ENSG00000137460.8	4	14	6	10
ENSG00000136630.12	71	71	68	89
ENSG00000069122.18	15	1	27	6
ENSG00000183873.15	0	3	0	2
ENSG00000060138.12	290	186	267	238
ENSG00000005469.11	229	190	167	146
ENSG00000100433.15	1	0	0	1
ENSG00000184148.3	0	0	0	0
ENSG00000168621.14	0	0	0	0
ENSG00000196597.11	22	24	33	19
ENSG00000248751.6	78	71	55	134
ENSG00000134851.12	1101	928	817	792
ENSG00000094880.10	492	532	395	356
ENSG00000139908.14	2	2	0	4
ENSG00000122687.17	396	313	258	267
ENSG00000011347.9	34	52	37	67
ENSG00000236362.7	0	0	0	0
ENSG00000167985.6	359	406	254	278
ENSG00000249319.2	262	220	193	280
ENSG00000211701.2	0	0	0	0
ENSG00000104765.15	451	181	522	280
ENSG00000039068.18	9	11	11	9
ENSG00000088782.4	0	0	0	0
ENSG00000101470.9	1	2	0	1
ENSG00000221874.4	30	33	24	27
ENSG00000066468.21	0	2	0	0
ENSG00000072080.10	0	0	0	0
ENSG00000188778.5	0	0	0	0
ENSG00000065717.14	78	136	85	196
ENSG00000129484.13	628	697	491	518
ENSG00000168397.16	448	520	254	435
ENSG00000257207.5	0	0	0	0
ENSG00000153443.12	123	148	91	140
ENSG00000162366.7	0	0	0	0
ENSG00000211693.2	0	0	0	0
ENSG00000127241.16	0	0	0	0
ENSG00000255302.4	840	518	659	608
ENSG00000168229.3	0	0	0	0
ENSG00000012211.12	193	180	147	189
ENSG00000152700.13	318	485	221	294
ENSG00000008130.15	789	905	703	936
ENSG00000181026.14	177	100	45	63
ENSG00000279988.1	0	1	3	0
ENSG00000242028.6	1420	895	922	854
ENSG00000105467.8	2	3	3	9
