gene	SRX118286_cnt	SRX118292_cnt	SRX118288_cnt	SRX118294_cnt
ENSG00000221880.3	0	0	0	0
ENSG00000173209.22	0	3	3	25
ENSG00000184022.3	0	0	0	0
ENSG00000198324.13	4	26	6	19
ENSG00000160439.15	2	18	3	8
ENSG00000129911.8	13	33	10	25
ENSG00000185404.16	30	85	36	20
ENSG00000137575.11	149	379	170	215
ENSG00000121552.3	0	0	0	0
ENSG00000100196.10	94	375	115	207
ENSG00000111669.14	649	1994	761	1786
ENSG00000234616.8	13	97	33	121
ENSG00000069702.10	23	59	32	38
ENSG00000158321.15	0	1	0	0
ENSG00000235194.8	0	1	4	0
ENSG00000176165.10	0	0	0	0
ENSG00000092377.13	0	0	0	0
ENSG00000014641.17	789	4249	952	2458
ENSG00000092871.16	28	172	44	101
ENSG00000197343.10	0	0	0	0
ENSG00000204583.9	0	0	0	0
ENSG00000234857.2	662	1646	687	1361
ENSG00000177463.15	38	191	58	175
ENSG00000131238.16	180	614	311	548
ENSG00000161544.9	0	0	0	5
ENSG00000143194.12	0	0	0	0
ENSG00000256053.7	111	278	121	159
ENSG00000211698.2	0	0	0	0
ENSG00000105619.13	4	21	5	21
ENSG00000169717.6	0	0	0	0
ENSG00000087086.14	42	90	71	208
ENSG00000101104.12	8	14	4	16
ENSG00000268193.5	7	15	6	20
ENSG00000186136.1	0	0	0	0
ENSG00000109971.13	2209	13813	1715	5645
ENSG00000145087.12	0	0	0	0
ENSG00000123570.3	3	16	10	0
ENSG00000166685.11	210	706	271	476
ENSG00000117595.10	1	0	0	0
ENSG00000165271.16	105	398	110	267
ENSG00000188976.10	197	823	290	661
ENSG00000198924.7	28	74	20	39
ENSG00000100320.22	32	59	32	35
ENSG00000179041.3	198	502	123	278
ENSG00000087191.12	937	3021	1054	1962
ENSG00000283332.1	53	266	62	211
ENSG00000198538.10	24	92	25	57
ENSG00000163216.6	0	0	0	0
ENSG00000101198.14	0	0	0	0
ENSG00000226929.3	0	0	0	0
ENSG00000036672.15	4	14	6	42
ENSG00000221978.11	67	217	59	149
ENSG00000107581.12	998	3069	798	1407
ENSG00000174197.16	202	847	238	445
ENSG00000162676.11	0	0	0	0
ENSG00000105379.9	242	1118	393	1070
ENSG00000112306.7	204	583	128	107
ENSG00000076770.14	3	20	3	8
ENSG00000149679.11	29	58	36	51
